title,company,description,location,onsite_remote,employment_type,seniority_level,job_function,industries,salary,posted_date,link
Data Analyst,Kelly,"Kelly Professional & Industrial supporting a Johnson & Johnson company in Irvine, CAYour next good thing is right here!At Kelly® Professional & Industrial, we’re all about helping you discover what’s next in your career. And we just so happen to be seeking anData Analyst *to support a top company inIrvine, CA.If this sounds like the right fit for you, read on and apply!Candidates considered for this role must meet COVID vaccination/exemption requirements by their start date.Why you should apply to this great opportunity*Length – 2 yearsPay:up to 31.00 per hourSchedule – M-F 40 hours per week - 6am-2pmLocation – Irvine, CAWhat’s a typical day like? You’ll be:*Create, validate and send daily weekly, and monthly management reports.Assistance with requests for non-standard reports and analysis.Support management reporting by maintaining hierarchy information.Research and answer team questions pertaining to data.Perform business-to-system analysis and troubleshooting analysis of complex management reports and business problems with guidance.Transform client needs into functional requirements. With guidance, collect, analyze and document business requirements for project proposals including but not limited to process and data flow, user interface, security, and reporting requirements.Participate in cross-functional meetings where customers are interviewed to understand customer needs and identify problems and solutions.Support teamwork and get internal and external client feedback on processes, procedures, and technology.This job might be an outstanding fit for those who:*Bachelor’s Degree required3 plus years of related experience highly preferredIntermediate to Advanced level Microsoft Office software programs. Advanced Excel skills (pivot tables, v-lookups, charts) is required.Knowledge of Power BI or Tableau is preferred.Must be able to multitask in a dynamic team environment, with little direction, and be detailed oriented with strong organization skills.Exceptional verbal and written communication skills with strong interpersonal and problem-solving skills needed.What happens next* Once you apply, you’ll proceed to next steps if your skills and experience look like a good fit. But don’t worry—even if this position doesn’t work out, you’re still in our network. That means all of our recruiters will have access to your profile, expanding your opportunities even more.Helping you discover what’s next in your career is what we’re all about, so let’s get to work. Apply today! #P1Get a complete career fit with Kelly®.You’re looking to keep your career moving onward and upward, and we’re here to help you do just that. Our staffing experts connect you with top companies for opportunities where you can learn, grow, and thrive. Jobs that fit your skills and experience, and most importantly, fit right on your path of where you want to go in your career.About Kelly®At Kelly, we’re always thinking about what’s next and advising job seekers on new ways of working to reach their full potential. In fact, we’re a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live (plus, did we mention we provide a ton of [benefits](https://www.mykelly.us/us-mykelly/perks/)?). Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world. Kelly Services is proud to be an Equal Employment Opportunity and Affirmative Action employer. We welcome, value, and embrace diversity at all levels and are committed to building a team that is inclusive of a variety of backgrounds, communities, perspectives, and abilities. At Kelly, we believe that the more inclusive we are, the better services we can provide. Requests for accommodation related to our application process can be directed to Kelly’s Human Resource Knowledge Center. Kelly complies with the requirements of California’s state and local Fair Chance laws. A conviction does not automatically bar individuals from employment.","Irvine, CA",onsite,Temporary,Entry level,Information Technology,Staffing and Recruiting,,17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-kelly-3364618353?refId=h4KlEWEWZ9F8VeckVJH4lA%3D%3D&trackingId=wJcWbaEti%2BMkEgzZhWG%2FhA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Fintech,"Join Fintech as a Data Analyst!Fintech is the leading business solutions provider for the beverage alcohol industry, empowering alcohol suppliers, distributors, and retailers with smart solutions that simplify beverage alcohol management. Our unique, thriving company culture promotes collaboration and growth at every level, and our comprehensive employee benefits have earned Fintech the title of a Tampa Bay Times Top 100 Workplaces for 2020 and 2021.Our Data Analyst is responsible for transforming data into insights that drive business value for Fintech and our clients by understanding business challenges, translating them into technical requirements, and leveraging data analysis tools & techniques to develop business solutions that clearly communicate results.Job Category:  Full Time - Hybrid or RemoteEssential Functions:Translate business questions into specific data and reporting requirementsDesign and develop business analyses & reporting that answers key business questionsAnalyze data to uncover key insights, create visualizations, craft a coherent story, and present findingsDefine data engineering requirements in support of data and analytics business use casesDefine acceptance criteria that is clear and testableReview data engineering outputs to ensure they meet the business needsAbility to read and write SQL queriesWork side by side with data engineers to deliver high quality productsTake initiative to learn new things and grow rapidly from constant exposure to innovative ideas, concepts, and patterns as well as the ability to share those findings effectivelyQualifications and Key Competencies:Bachelor’s degree or equivalent experience2+ years of recent experience in a business intelligence analyst or data analyst role2+ years of recent experience with SQL programmingStrong knowledge of data analysis and visualization tools required; Power BI preferredStrong Excel and Power Point skills preferredAbility to work independently with internal stakeholders to meet the data needs of the business, translating business needs into data and analytical requirementsAbility to deliver results of analyses in a clear and effective manner to all levels of technical expertiseExcellent written, verbal, presentation, and communication skillsProactive work style and creative problem solver who can handle multiple projects, demonstrating a strong work ethicExcellent attention to detail, quality, and follow-through; commitment to continuous improvement and the elimination of performance variabilityDemonstrated ability to adapt to rapidly changing requirements with a flexible and creative approach to brainstorming, troubleshooting, and problem solvingAbility to analyze data across factors and time periods and identify and report trends/patternsOur Benefits:Unparalleled Employer Matched 401K (Up to 10% of Employee Salary)Medical Insurance Options with generous employer HSA contributions Company Paid Dental Insurance Option (Employee only)Company Paid Vision Insurance (Employee only)Company Paid Long and Short-Term DisabilityCompany Paid Life & AD&D InsuranceEmployee Recognition Program18 PTO a YearBusiness Casual Dress CodeOn-site workout facility in TampaOn-site campus cafeteria in Tampa Check out www.fintech.com and infosource.ai for more information!We E-Verify.Fintech is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and pregnancy-related conditions), gender identity or expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Fintech’s management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities, access to facilities and programs and general treatment during employment.Fintech is a Drug-Free Workplace.",Greater Tampa Bay Area,hybrid,Full-time,Associate,Information Technology,Financial Services,,17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-fintech-3360946469?refId=Ky4jC0cuJPhJphngkJkcXA%3D%3D&trackingId=j%2B35GmWJhGnGlfFoG8j3Kg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Apex Systems,"Data AnalystLarge Bank***W2 onlyLocation: Charlotte, NC Uptown for 3 days a week, 2 days a week remoteContract Length: contract that will convert full time! W2 candidates only at this timeRequired Skills:Data-driven, analytical mindset and approach to problem solving3+ years SQL queries and data analysisProficiency with big data including coding skills using multiple common data science tools (eg SAS, SQL, Python, R, Matlab, Jupyter, Tableau)Experience with large data sets to develop statistical relationships and models and/or advance analytics knowledge (data mining, statistics, trend and pattern identification, etc)Intellectual curiosity with ability to learn and explore new data and analytical conceptsHighly organized with close attention to detailProven history of being a team player working in a collaborative environment; comfortable engaging with team membersDemonstrated ability to drive action and sustain momentum to achieve result Desired Skills:Prior experience with a large bank or enterprise companyStrong relationship management and communications (written and verbal) skillsExposure to Data Management and Application conceptsData science expertise​Job Description Summary:The Retention and Resiliency Data Analytics within Last Good Data Copy Data Operations is responsible for delivering data analytics and metrics reporting in support of the bank’s efforts to mitigate retention and resiliency risk. This team consults and supports multiple stakeholders across the Enterprise Data Management Operations (EDMO) team.In this role, the data analyst will partner with business partners to analyze big data to address complex business needs related to the operational execution for both bank records and data retained for resiliency purposes across the enterprise. Primary responsibilities will include data gathering, data analysis, and presenting meaningful insights and findings to business partners and stakeholders.Role is expected to evolve as the team matures from metrics reporting to analytics to data science.","Charlotte, NC",hybrid,Contract,Mid-Senior level,"Information Technology, Analyst, and Consulting","IT Services and IT Consulting, Banking, and Investment Banking","$90,000.00
            -
            $135,000.00",17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-3358613018?refId=kBsqn06FpkGtHteGY09xAA%3D%3D&trackingId=rtC9%2BDFaZOPfYuoL9FjmWQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Analytic Recruiting Inc.,"Thriving marketing and revenue optimization firm is seeking an Data Analyst (internal tile is account manager) to manage clients and perform analysis on marketing and campaign data. Starting salary is 70K with no room for negotiation.Keywords: Excel, Nest, Analysis, CampaignRemote role that can be filled in ONLY the following states:DelawareTennesseeSouth CarolinaTexasNew JerseyMinnesotaMassachusettsRhode IslandMichiganGeorgiaWisconsinIowaResponsibilitiesDrive client growth through data processing, data analysis, making recommendations, proposing strategy, and implementing tacticsLeverage data from paid media platforms, vendors, internal and external systems to understand the performance of our clients' funnelResponsible for business analytics work through all phases, including data quality, data analysis, data visualization, and presentation of results and deliverablesBuild tools in Excel to automate workRequirementsQuant degree2+ years work experience in analytical role1 year of remote work experienceMust be skilled in analyzing and communicating data2+ years of Excel experience including the ability to nestMust be highly proficient in data analytics",United States,remote,Full-time,Mid-Senior level,Analyst and Marketing,Advertising Services,"$70,000.00
            -
            $70,000.00",17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-analytic-recruiting-inc-3364572599?refId=AfUKR38NiVVOgMsjgIgi2w%3D%3D&trackingId=8UqL%2BAp6gXYZ6AZ%2BbqwVig%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Motion Recruitment,"Our Client, a nonprofit centered around college readiness for students K - 12, is looking for a Data Analyst to join their team remotely!***This begins as a 7-month contract with an opportunity to extend or convert***In this role you will support the team to provide smooth and error-free implementation of the SAT Suite of Assessment for high-profile customers. Key Responsibilities:Use data management and analytics tools to provision data, analyze data, identify and document gaps, and enable self-service.Gather requirements and understand the data needs of internal and external customers.Provision files and transfer data - upload files for transfer and access through secure file transfer protocol (sftp).Write data mapping specifications, data dictionaries, and documentation associated with data extensionsDevelop and maintain current knowledge of College Board products, data systems and information assets.Plan, develop, deploy and test lightweight information solutions with a focus on an efficient and automated approach. Monitor and discover trends with particular emphasis on those impacted by new product releases, operational changes and new data collection techniques.Pilot strategic analyses using existing and new data sources, of both internal and external origin, and position them to be incorporated into enterprise platforms.Identify existing reports and/or processes for automation opportunities.Develop and execute plans to perform user acceptance testing and quality control essential to the deployment of reports and business information solutions.Required Skills and Experience:Bachelor’s degrees in mathematics, statistics, or computer or data science3 - 5 years of demonstrated proficiency with data analysis required.Advanced knowledge of ExcelHighly proficient in SQLExperience with database development to support data transformation and loading processesFamiliarity with Salesforce Marketing Cloud is a plusExperience with Python/R is a plusAbility to create and present analyses in PowerPoint/Google Slides",United States,remote,Contract,Associate,"Research, Analyst, and Information Technology",Staffing and Recruiting,,17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-motion-recruitment-3364394986?refId=LqCK7b4aCEwATLfHefOTwg%3D%3D&trackingId=%2BisZeL%2BtscIBWkE6gZ1CGQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Better Choice Company (BTTR),"Better Choice Company is seeking a Data Analyst to support the Finance function. The position will be responsible for supporting data integrity initiatives, and partnering cross-functionally to assist in financial reporting, business analysis, and data automation projects.Primary Responsibilities● Ownership of company financial and statistical data integrity including assurance of complete and correct data for items and customers in all company systems including NetSuite (ERP), Adaptive (Budgeting software), and Power BI (Business Intelligence).● Work cross-functionally with Sales, Operations, and Finance to ensure complete and accurate data for all aspects of the business.● Validation and reconciliation of data between NetSuite (ERP) and Power BI, including sales, orders, and customers.● Manage large lists of detailed product information (descriptions, prices, weights, bill of materials, and other key product information).● Create properly formatted and accurate upload files for data updates.● Create and analyze reports that will assist all departments in decision-making.QualificationsBS/BA degree in Business, Finance, Economics, or related field experience in lieu of degree accepted. Must be able to build and manage data integrity processes and report on data accuracyAdvanced Microsoft Excel skillsRequired SkillsExperience working with data and Microsoft Excel; working experience with PowerBI, NetSuite, or Adaptive Insights software is a plusExcellent attention to detail, well organizedExcellent communication, presentation, and project management skillsHighly collaborative work style and ability to multi-task and work under pressure with multiple deadlinesWillingness to take on responsibility above stated role and complete more executional work when needed (startup culture)",United States,remote,Full-time,,,,"$65,000.00
            -
            $70,000.00",17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-better-choice-company-bttr-3364285468?refId=SQejusk%2BFROxsFXcfp9Brg%3D%3D&trackingId=tDpv7ReuZCIva3jFi0kg9A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,"DIVERSANT, LLC","Title: Data Analyst, EAMLocation: 100% RemoteType: Direct HireCompensation: 75 to 93k, benefitsPOSITION SUMMARYThe Data Analyst, EAM is responsible for gathering, streamlining, standardizing, and documenting processes and the data that support the corporate Fleet & Asset Management department. The Data Analyst, EAM collaborates with subject matter experts in the field to break down complex problems, identify areas of improvement, align responsibilities, and document step-by-step procedures, ultimately providing solutions to challenges faced in managing the Company’s assets. The Data Analyst, EAM plays a critical role in the strategic execution of their designated space Company-wide, assisting with all functions related to planning, reporting, analysis, and identification of opportunities. This role relies heavily on analytical skills to evaluate complex information, formulate insights, and develop sound recommendations to support the management of assets, inventory, work orders, planning & scheduling, warranty, vendor management, master data management and reporting & analytics.PRINCIPLE RESPONSIBILITIES:Standardizes, audits, queries, and cleanses EAM system data and develops governance processes to maintain data cleanliness.Identifies opportunities to automate, centralize, and simplify processes, including improvements through technology or system-related enhancements.Collaborates with IT, vendors, and other functional departments to implement process improvements.Discovers and documents existing operational processes and insights from the field and corporate office.Engages leaders and the field to translate complex processes into easily understood components, uncovers best practices, and develops consistent standard operating procedures.Reviews and tracks key operational and financial metrics.Builds reports and other tools to track key operational and financial metrics.Develops quality training content and manages rollout of new or adjusted processes to the field.Develops and completes system and dashboard test scripts.Designs and updates Fleet & Asset Management process documentation.Performs other job-related duties as assigned or apparent.QUALIFICATIONS:Bachelor’s Degree in Business/Supply Chain/Finance preferred.Strategic thinking, strong interpersonal and top-end analytical skills.Results-focused and time management skills, able to prioritize milestones, while leading internal and external resources to meet project goals.SQL or MSFT Power BI proficiencyExperience administering systems and system enhancementsMINIMUM QUALIFICATIONS:Minimum 4 years of experience developing and documenting processes, process steps, and standard operating procedures.Experience managing project deadlines, milestones, and deliverables.Intermediate proficiency in MS Office suite of tools (Excel, PowerPoint, Word).  EEOC: We are committed to equal employment opportunity without consideration of race, color, religion, ethnicity, citizenship, political activity or affiliation, marital status, age, national origin, ancestry, disability, veteran status, sexual orientation, gender identity, gender expression, sex or gender, or any other basis protected by law.","Arizona, United States",remote,Full-time,Associate,Information Technology,IT Services and IT Consulting,"$75,000.00
            -
            $93,000.00",17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-diversant-llc-3364383213?refId=AfUKR38NiVVOgMsjgIgi2w%3D%3D&trackingId=R4MB8ZTZPW%2BQUygMa%2Bp71Q%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Magic,"AboutFounded by the creators of Fortmatic, Magic is a Web3 infrastructure company that empowers developers to create seamless and secure user onboarding experiences, abstracting away the complexities of blockchain technology. We are backed by top investors such as Tiger Global, Lightspeed Ventures, SV Angel, Social Capital, Northzone, Placeholder, Naval Ravikant, Alexis Ohanian, and Balaji Srinivasan.To date, Magic has enabled more than 110K developers and enterprises to onboard over 10 million users to the Web3 ecosystem — and we continue to grow rapidly. We are trusted by leading NFT marketplaces such as Immutable, Niftys, OpenSea, Decentraland and major enterprise Web2 companies alike.If you are excited to make Web3 accessible and help onboard the next billion users, let’s chat!The Role Magic is hiring its first GTM Data Analyst, a pivotal role on our Revenue Operations team as we scale! You will leverage business intelligence, data engineering, analytics, and data science, working nimbly throughout the data tech stack to help us maintain and develop a world class suite of analytics solutions that increase revenue efficiency and intelligence. Examples may include leveraging ML predictions to create an opportunity scoring pipeline, designing tooling to track sales performance metrics, and implementing an automated system to measure incremental lift of AEs & CSMs.You will:Leverage data to identify problem areas, propose solutions, and shape the long term strategy of our GTM organizationCreate foundational predictive models to help drive key GTM decisions relating to Finance, Sales, and MarketingDevelop creative tools, features, and reports to empower self-service data access, augment business intelligence, and increase operational efficiencyAdvocate for the GTM data ecosystem, and apply a diverse set of skills in business intelligence, analytics, and data science to support business growthOwn, coordinate, and tackle problems spanning across Sales, Marketing, Finance, Product, Engineering, and moreCommunicate analyses and recommendations to executive stakeholders in verbal, visual, and written formats (we are in a fully remote environment!)Who You AreYou’re excited about how web3 can change the Web and world at large and want to see how the world’s biggest brands will pioneer paths forward4+ years of analytical experience in consulting, data analytics, revenue operations, data science, or machine learning and predictive analyticsAdvanced to expert level SQL skills and familiarity with concepts beyond querying (schema and ETL design, and query optimization)Expert at reporting, dashboarding and visualizing data to tell compelling storiesUnderstanding of key GTM motions, including customer targeting, segmentation, sales processes, and demand generationExperience in providing data driven solutions across the business intelligence and data layerExperience in applying data-backed heuristics to solve practical product problems all with the objective of increasing our top-line revenueStrong written and verbal communication skills, and ability to build relationships to influence across the organizationBenefitsFully remote team and flexible working hoursCompetitive salary and stock options10% minimum performance-based annual bonusUnlimited paid time offPlatinum-level Health, Vision, and Dental insurance – Magic covers 99%401(k) programTop of the line equipment$300 monthly budget for personal wellness, professional development, and home office needsAnnual team meetupsAt Magic, we believe building a team full of diverse perspectives and experiences is vital to success. We strongly encourage anyone who has been historically under-represented in tech to apply for this role. Magic does not discriminate on the basis of gender, sexual orientation, race, religion, citizenship status, age or physical ability. Empathy, authenticity, and inclusivity are at the core of all we do.","San Francisco, CA",remote,Full-time,Not Applicable,Sales,"Technology, Information and Internet",,17/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-magic-3363555676?refId=0hsVOELoOBVhiPP2%2B0eZBg%3D%3D&trackingId=qQxPQ9sNg%2BFMobrjSkXoSA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,"AllTech Systems, Inc.","Overview • Liaise between the business and IT, eliciting and translating customer needs into system-specific objectives, identifying possible system enhancements or new systems to be created, and defining requirements  Responsibilities • Meets with business leaders and business analysts to discuss and elicit under-the-surface needs and translate them into specific system requirements and subsequent project objectives  • Identifies solutions for less complex, more common issues  • Independently creates prototype designs for components of applications or projects and writes basic documentation, such as test plans and scripts  • Defines project requirements and assists with estimating efforts to fulfill requirements  • Coaches junior resources in development of prototype designs for less complex projects  • Coordinates impact to vendor and company workflow for new products  • Responsible for test scenarios creation, some testing and test results review  • Assists with analysis of support ticket issues  Experiences • Moderate professional experience in financial services, cards, payments or another related field  • Understands MasterCard’s product delivery process  • Experience with data analytics and data insights, particularly as it relates to data visualizations • Experience with SQL • Experience with ETL • Experience in Java development a plus, but not required.","O'Fallon, MO",onsite,Full-time,Associate,Information Technology,Financial Services,"$50.00
            -
            $60.00",18/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-alltech-systems-inc-3359898754?refId=PCWTfTCT%2FimJ0RLK2JZYMw%3D%3D&trackingId=OCYeThItM8VXNgMHr545%2FQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst I,"SMS Assist, L.L.C.","This position supports the Product and Technology Department by managing work associated with the support of organizational data systems. As a Data Analyst, you will be responsible for researching and evaluating the usage data to make recommendations to improve the data storage, reporting and the server performance. You will work closely with Data Engineer and Operational Business Analyst to better manage the company data and guide the stakeholders to better utilize the data to make the decision.SummaryThis position supports the Product and Technology Department by managing work associated with the support of organizational data systems.ResponsibilitiesThe role partners with leadership to maintain data warehouse for current and anticipated reporting needsDesign and maintain data views needed for requested reportsDocument all data structures, relationships, and attributes in organizational data dictionariesAssist and train data warehouse users to understand the data structure and optimize the complex quires Assist in monitoring and improving the Data Warehouse performance and usage through query execution analysis and tuningIdentify and report data integrity issues across data sources to promote ongoing data qualityProfessional SkillsVerbal Communication: Able to communicate complex business issues of strategic significance to large and small audiences including in an adversarial environment with customers and external parties Written Communication: Able to write reports, announcements, communications, and materials of significant commercial sensitivity which are clearly understood and achieve the overarching objectiveTeamwork: Able to foster a collaborative and productive environment in teams, including those of disparate members from across or outside SMSRelationships: Able to build strong and trusting relationships with individuals and leaders across and outside SMS which achieve desiLearning Agility: Able to set direction and create productive outcomes in an environment of ambiguity, uncertainty, and changeAnalysis: Able to undertake complex data analysis, using interpretive skills and business knowledge to draw conclusions and make recommendationsProblem Solving: Able to apply a range of advanced problem-solving techniques to complex business issues, and apply creativity to the development of solutionsPrioritization: Able to decide between competing priorities or limited resources to achieve significant business outcomes best aligned with the SMS strategyRole Specific SkillsExperience with Database and Data WarehouseKnowledge of database systems in general (Foreign keys, indexes, basic DBA tasks)Experience with performance tuning and query optimizationExperience with Data Visualization Tools (Tableau, PowerBI)Understanding of ETL best practices and data engineering is a plusQualificationsMinimum Qualifications Education: Bachelor or Graduate degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field - or commensurate experienceMaster’s Degree preferred0-3 years of experience in relevant field for Level I­­­­­___________________________________________________________________________________Please note, this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities, and schedule may change at any time with or without notice.SMS Assist is an Equal Opportunity Employer (EOE) that welcomes and encourages all applicants to apply regardless of age, race, color, religion, sex, sexual orientation, gender identify and/or expression, national origin, disability, veteran status, marital or parental status, ancestry, citizenship status, pregnancy or other reasons prohibited by law.","Chicago, IL",hybrid,Full-time,Mid-Senior level,Information Technology,Facilities Services,,18/11/2022,https://www.linkedin.com/jobs/view/data-analyst-i-at-sms-assist-l-l-c-3231689150?refId=EFP6vkrrbjYWsfHsCZlrjA%3D%3D&trackingId=AVAlY3o4G26QOgugYdWHsA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Synergis,"Data Analyst6+ Month Contract to permAtlanta, GA (Hybrid onsite/remote)(3 days per week in office)Synergis’ client has engaged us in a search for a Data Analyst to augment their expanding team! The selected candidate will support data initiatives for the business and provide client data analysis and support. This job will focus on gaining quantitative insights during discovery on where issues may exist in problem spaces, allowing for better solutions and outcomes. This person will work closely with management and department leads to identify key measures of performance, ensure proper reporting on those is in place and ensure data quality. This is a remote position, but the ideal candidate will be in the Atlanta area.Data Analyst | Background and ScopeDevelop, test and proof of operational reports for the team by working closely with management and department leads to identify key measures of productivity and quality.Pull the data, provide analysis, build reports, and make recommendations on what the data is sayingApply analytics to identify trends or patterns that provide insight into the root cause of system failures or process breakdowns as well as identify areas of possible improvementSystemize reporting to reduce the manual effort involved in developing reports, running queries, and pushing data out to stakeholders.Work closely with management and department leads to identify cost savings opportunities as well as inefficient processes.Assist the Manager, Business Operations Technology during new client implementations, existing client requests/enhancements and system support projects.Data Analyst | RequirementsBA/BS in any field3 to 5+ years of prior data and/or business analysis experience as data or reporting analystStrong SQL experience a mustTableau experience or any other business analytics tool experience requiredStrong analytical skills, with an interest and ability to understand and use Data and analytics processesAbility to draw conclusions from raw dataAbility to create information out of raw dataPassion for connecting the dots (Data to the Bottom line)Ability to analyze problems and provide recommendationsAbility to deliver results with minimum supervision Data Analyst | PreferredExperience with Big Query preferred but not requiredExposure to working with Product ManagementPlease contact Christy.Cifreo@Synergishr.com or 770-346-7211About SynergisSynergis serves a myriad of clients across nearly all industries, from start-ups to Fortune 100 companies. The outcomes of these relationships are demonstrated in a growing list of more than 300 clients and industry recognition by Inc. magazine and the Atlanta Business Chronicle. From its foundation in 1997, Synergis has been successfully recruiting and placing IT professionals in all areas of information technology. For more information about Synergis, please visit the company website at www.synergishr.com.“The hourly pay range for this position is $32 to $50/hr (dependent on factors including but not limited to client requirements, experience, statutory considerations, and location). Benefits available to full-time employees: medical, dental, vision, disability, life insurance, 401k and commuter benefits. *Note: Disclosure as required by the Equal Pay for Equal Work Act (CO), NYC Pay TransparencyLaw, and sb5761 (WA).”",Atlanta Metropolitan Area,hybrid,Full-time,Associate,Information Technology,Retail,,18/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-synergis-3359691047?refId=VI1ejrYiV9xQIdvHlLerVQ%3D%3D&trackingId=yIvCIZkRWKlhANGdm4LAmQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Planet Pharma,Job DescriptionThis position involves close collaboration with process engineers to:Create and Manage databases/reportsCompile data for campaign tech reportsCreate charts and figures for meetingsWrite protocols for MSAT studiesProvide assessment to System Change NotificationsRequirementsBachelor's Degree1-2 years of work experienceProficiency in ExcelStrong data entry skillsAbility to work independently and in a team environmentThe Planet Group of Companies is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.**compensation within this range will be commensurate with level of experience**,"Novato, CA",hybrid,Contract,Entry level,Information Technology and Analyst,"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing","$30.00
            -
            $40.00",18/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-planet-pharma-3360767542?refId=8AL02sZHqq3Vwfsg0QrJWg%3D%3D&trackingId=FNLoT4mob8z9F8jHPVd9uw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Insight Global,"Job Description:The Data Analyst will join the SOX Compliance and Controls team, in the Internal Controls over Regulatory Reporting Group. ICRR is responsible for providing reasonable assurance that the regulatory reports of the company are not materially misstated. ICRR independently assesses the internal control framework and data integrity to ensure compliance with published regulation. ICRR coordinates testing with internal audit, other SOX compliance and controls teams and other groups within compliance. Day to Day: The Data Analyst will partner with key stakeholders in regulatory reporting to identify areas of regulatory reporting improvements, including identifying process enhancements and issues that require remediation. They will conduct testing of controls, compliance and data integrity using innovative tools and testing techniques such as Altryx, SQL, Excel, etc. Additionally, they will identify issues and communicate those issues to various levels of management to ensure corrective actions are taken to address the root cause. When the team receives a report they work backwards, tracing all of the numbers through multiple tables to ensure that everything was assigned correctly in the originating system and all of the end data is correct. The overall goal is to perform data integrity testing over regulatory reports, focused on US filed Regulatory Reports with the Fed, specifically in the liquidity reporting space. The main focus is on the data trail and performing analytics along the way. This group is in table design testing, with a database that houses 100’s of tables, they are ensuring that the data is correct on the files, while also deriving data on files coming in and making sure the database is maintained and built correctly. The team is a third party that looks for problems, tracks the issues, tests them and then escalates the information. Must Haves:Bachelor’s DegreeFamiliar with Maintaining & Building DatabasesExperience with Data Analysis, Data Architecture and/or Data Warehousing 4+ yrs. Total work experienceExperience in Regulatory Testing, SOX testing, Internal Audit, Internal Control or Regulatory ReportingExperience working for a Highly Regulated CompanyStrong Interpersonal and Communication SkillsKnowledge of Data Governance Processes & Tools (Collibra, IDQ, Issue Mgmt & Remediation, etc.)Plusses:Technical Skills with DataAltrix Software ExperienceFinancial Services/Banking BackgroundPython SkillsSequel Skills","Pittsburgh, PA",remote,Full-time,Mid-Senior level,Information Technology and Analyst,Banking and Financial Services,,18/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3360702798?refId=SQejusk%2BFROxsFXcfp9Brg%3D%3D&trackingId=eIwVLN99nCFNJeeCxid58Q%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
